plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,0,7.5,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,3,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,4,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,5,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,6,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,7,WT,0,4,10/02/2021 10:35:00,0.951,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,8,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,9,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,10,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,11,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,12,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,13,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,14,WT,0,4,10/02/2021 10:35:00,0.422,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,15,WT,0,4,10/02/2021 10:35:00,0.734,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,16,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,17,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,18,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,19,WT,0,4,10/02/2021 10:35:00,0.361,,,,,,,,,,,,,,,,,,,,,,,,,
